date,day_of_week,revenue,orders,customers_active,new_customers,profit,cat_electronics,cat_software,cat_cloud,cat_hardware,cat_consulting
2026-04-17,Friday,3870817.79,1457,1107,30,1057569.98,1470910.76,1006412.63,774163.56,387081.78,232249.07
2026-04-18,Saturday,2903477.17,1106,925,39,725623.07,1103321.32,754904.06,580695.43,290347.72,174208.63
2026-04-19,Sunday,2739613.89,1021,770,44,723551.89,1041053.28,712299.61,547922.78,273961.39,164376.83
2026-04-20,Monday,3519038.27,1330,1043,28,969258.75,1337234.54,914949.95,703807.65,351903.83,211142.3
2026-04-21,Tuesday,3650605.78,1374,1141,26,937503.58,1387230.2,949157.5,730121.16,365060.58,219036.35
2026-04-22,Wednesday,3640682.6,1279,960,62,896583.5,1383459.39,946577.48,728136.52,364068.26,218440.96
2026-04-23,Thursday,3623455.26,1196,1015,54,910186.86,1376913.0,942098.37,724691.05,362345.53,217407.32
2026-04-24,Friday,3557011.25,1403,984,17,860030.72,1351664.27,924822.93,711402.25,355701.12,213420.67
2026-04-25,Saturday,2842592.0,915,735,63,774550.82,1080184.96,739073.92,568518.4,284259.2,170555.52
2026-04-26,Sunday,2940594.74,954,673,17,766545.2,1117426.0,764554.63,588118.95,294059.47,176435.68
2026-04-27,Monday,3638862.55,1363,1072,51,948993.01,1382767.77,946104.26,727772.51,363886.26,218331.75
2026-04-28,Tuesday,3826684.83,1355,968,37,1018934.29,1454140.24,994938.06,765336.97,382668.48,229601.09
2026-04-29,Wednesday,3939563.03,1367,1142,48,1012398.16,1497033.95,1024286.39,787912.61,393956.3,236373.78
2026-04-30,Thursday,3885465.85,1516,1127,27,1014341.49,1476477.02,1010221.12,777093.17,388546.59,233127.95
2026-05-01,Friday,3699094.32,1208,886,21,1003239.16,1405655.84,961764.52,739818.86,369909.43,221945.66
2026-05-02,Saturday,2899573.02,1062,872,27,773643.94,1101837.75,753888.99,579914.6,289957.3,173974.38
2026-05-03,Sunday,2986301.47,1162,907,24,828032.73,1134794.56,776438.38,597260.29,298630.15,179178.09
2026-05-04,Monday,3586662.51,1305,999,29,960331.39,1362931.75,932532.25,717332.5,358666.25,215199.75
2026-05-05,Tuesday,3729443.43,1319,1006,16,1001097.48,1417188.5,969655.29,745888.69,372944.34,223766.61
2026-05-06,Wednesday,3878648.32,1251,1046,20,1044952.77,1473886.36,1008448.56,775729.66,387864.83,232718.9
2026-05-07,Thursday,3911187.04,1324,1053,36,1058085.9,1486251.08,1016908.63,782237.41,391118.7,234671.22
2026-05-08,Friday,3604786.36,1309,1035,54,974367.0,1369818.82,937244.45,720957.27,360478.64,216287.18
2026-05-09,Saturday,2908048.6,1122,928,40,764610.8,1105058.47,756092.64,581609.72,290804.86,174482.92
2026-05-10,Sunday,3020155.02,1066,800,16,806813.91,1147658.91,785240.31,604031.0,302015.5,181209.3
2026-05-11,Monday,3929525.7,1553,1160,65,1000430.88,1493219.77,1021676.68,785905.14,392952.57,235771.54
2026-05-12,Tuesday,3513294.36,1293,970,25,953517.45,1335051.86,913456.53,702658.87,351329.44,210797.66
2026-05-13,Wednesday,3882293.35,1240,967,53,985114.65,1475271.47,1009396.27,776458.67,388229.34,232937.6
2026-05-14,Thursday,3954980.86,1476,1167,56,1005796.99,1502892.73,1028295.02,790996.17,395498.09,237298.85
2026-05-15,Friday,3913209.53,1293,966,32,1067970.51,1487019.62,1017434.48,782641.91,391320.95,234792.57
2026-05-16,Saturday,2788625.65,1042,788,53,691841.58,1059677.75,725042.67,557725.13,278862.57,167317.54
2026-05-17,Sunday,2738044.5,879,743,17,722737.67,1040456.91,711891.57,547608.9,273804.45,164282.67
2026-05-18,Monday,3852740.26,1419,1179,56,1039095.01,1464041.3,1001712.47,770548.05,385274.03,231164.42
2026-05-19,Tuesday,3997564.96,1510,1162,40,1057724.08,1519074.68,1039366.89,799512.99,399756.5,239853.9
2026-05-20,Wednesday,3842747.83,1367,995,15,996844.61,1460244.18,999114.44,768549.57,384274.78,230564.87
2026-05-21,Thursday,3699527.6,1433,1163,47,895476.93,1405820.49,961877.18,739905.52,369952.76,221971.66
2026-05-22,Friday,3699364.15,1335,1085,60,904201.22,1405758.38,961834.68,739872.83,369936.42,221961.85
2026-05-23,Saturday,3112104.98,1212,976,17,850458.46,1182599.89,809147.29,622421.0,311210.5,186726.3
2026-05-24,Sunday,2937102.24,971,704,37,772043.65,1116098.85,763646.58,587420.45,293710.22,176226.13
2026-05-25,Monday,3748795.24,1281,1043,43,1033319.38,1424542.19,974686.76,749759.05,374879.52,224927.71
2026-05-26,Tuesday,3931516.55,1567,1146,41,1097528.51,1493976.29,1022194.3,786303.31,393151.66,235890.99
2026-05-27,Wednesday,3747416.9,1436,1192,63,907368.58,1424018.42,974328.39,749483.38,374741.69,224845.01
2026-05-28,Thursday,3648128.65,1314,962,56,1008239.54,1386288.89,948513.45,729625.73,364812.86,218887.72
2026-05-29,Friday,3804445.62,1287,985,27,1049051.43,1445689.34,989155.86,760889.12,380444.56,228266.74
2026-05-30,Saturday,2802486.16,1014,791,48,682259.87,1064944.74,728646.4,560497.23,280248.62,168149.17
2026-05-31,Sunday,2983578.3,1031,842,46,750216.62,1133759.75,775730.36,596715.66,298357.83,179014.7
2026-06-01,Monday,3845032.31,1343,1122,42,940829.46,1461112.28,999708.4,769006.46,384503.23,230701.94
2026-06-02,Tuesday,3880152.12,1401,1112,44,1020091.04,1474457.81,1008839.55,776030.42,388015.21,232809.13
2026-06-03,Wednesday,3754142.44,1355,1063,41,936438.71,1426574.13,976077.03,750828.49,375414.24,225248.55
2026-06-04,Thursday,3540480.36,1261,927,34,905575.68,1345382.54,920524.89,708096.07,354048.04,212428.82
2026-06-05,Friday,3908561.1,1426,1028,39,1051451.69,1485253.22,1016225.89,781712.22,390856.11,234513.67
2026-06-06,Saturday,2899683.65,964,749,45,708422.29,1101879.79,753917.75,579936.73,289968.36,173981.02
2026-06-07,Sunday,3119824.12,1079,854,20,873400.14,1185533.17,811154.27,623964.82,311982.41,187189.45
2026-06-08,Monday,4034808.4,1314,952,25,990348.23,1533227.19,1049050.18,806961.68,403480.84,242088.5
2026-06-09,Tuesday,3872449.22,1320,1094,49,1063268.66,1471530.7,1006836.8,774489.84,387244.92,232346.95
2026-06-10,Wednesday,3927690.24,1568,1109,30,1011766.29,1492522.29,1021199.46,785538.05,392769.02,235661.41
2026-06-11,Thursday,3967933.7,1245,1026,30,1088161.57,1507814.81,1031662.76,793586.74,396793.37,238076.02
2026-06-12,Friday,4006497.47,1337,1059,26,1024498.16,1522469.04,1041689.34,801299.49,400649.75,240389.85
2026-06-13,Saturday,3027234.38,975,822,26,798842.57,1150349.06,787080.94,605446.88,302723.44,181634.06
2026-06-14,Sunday,2875065.18,1038,877,39,786325.22,1092524.77,747516.95,575013.04,287506.52,172503.91
2026-06-15,Monday,4029335.07,1326,1068,44,992367.25,1531147.33,1047627.12,805867.01,402933.51,241760.1
2026-06-16,Tuesday,3993584.99,1265,890,31,980733.76,1517562.3,1038332.1,798717.0,399358.5,239615.1
2026-06-17,Wednesday,3814245.32,1222,1024,45,992928.88,1449413.22,991703.78,762849.06,381424.53,228854.72
2026-06-18,Thursday,3778686.27,1367,1055,18,995304.08,1435900.78,982458.43,755737.25,377868.63,226721.18
2026-06-19,Friday,4003037.53,1489,1184,26,1036803.51,1521154.26,1040789.76,800607.51,400303.75,240182.25
2026-06-20,Saturday,2817546.65,1051,818,22,700756.72,1070667.73,732562.13,563509.33,281754.66,169052.8
2026-06-21,Sunday,3162018.42,1141,943,46,825876.88,1201567.0,822124.79,632403.68,316201.84,189721.11
2026-06-22,Monday,3616446.77,1364,963,15,976810.48,1374249.77,940276.16,723289.35,361644.68,216986.81
2026-06-23,Tuesday,3767349.16,1244,1032,24,1044434.47,1431592.68,979510.78,753469.83,376734.92,226040.95
2026-06-24,Wednesday,3901035.25,1267,988,20,1012274.48,1482393.4,1014269.17,780207.05,390103.53,234062.11
2026-06-25,Thursday,4061686.01,1442,1210,54,1081406.67,1543440.68,1056038.36,812337.2,406168.6,243701.16
2026-06-26,Friday,3958274.75,1359,1144,39,1026352.73,1504144.41,1029151.44,791654.95,395827.48,237496.48
2026-06-27,Saturday,2974947.36,936,758,34,730981.24,1130480.0,773486.31,594989.47,297494.74,178496.84
2026-06-28,Sunday,2949264.78,927,764,56,750887.88,1120720.62,766808.84,589852.96,294926.48,176955.89
2026-06-29,Monday,3880550.07,1256,950,42,953895.62,1474609.03,1008943.02,776110.01,388055.01,232833.0
2026-06-30,Tuesday,3694088.27,1458,1165,57,941492.01,1403753.54,960462.95,738817.65,369408.83,221645.3
2026-07-01,Wednesday,3933236.84,1518,1112,59,1090070.81,1494630.0,1022641.58,786647.37,393323.68,235994.21
2026-07-02,Thursday,3999011.91,1530,1200,64,1070810.38,1519624.53,1039743.1,799802.38,399901.19,239940.71
2026-07-03,Friday,3772440.02,1310,932,24,981122.43,1433527.21,980834.41,754488.0,377244.0,226346.4
2026-07-04,Saturday,2980620.56,971,779,22,818111.94,1132635.81,774961.35,596124.11,298062.06,178837.23
2026-07-05,Sunday,3191510.02,1095,930,60,810334.68,1212773.81,829792.61,638302.0,319151.0,191490.6
2026-07-06,Monday,3925795.34,1335,1044,16,1010068.22,1491802.23,1020706.79,785159.07,392579.53,235547.72
2026-07-07,Tuesday,3680540.81,1316,1053,20,949353.76,1398605.51,956940.61,736108.16,368054.08,220832.45
2026-07-08,Wednesday,3642492.69,1181,929,60,916932.95,1384147.22,947048.1,728498.54,364249.27,218549.56
2026-07-09,Thursday,3629570.59,1340,1127,18,893049.0,1379236.82,943688.35,725914.12,362957.06,217774.24
2026-07-10,Friday,4095664.74,1362,999,62,1062516.5,1556352.6,1064872.83,819132.95,409566.47,245739.88
2026-07-11,Saturday,3060517.1,1167,863,50,778985.84,1162996.5,795734.45,612103.42,306051.71,183631.03
2026-07-12,Sunday,2915082.43,1034,731,29,771862.4,1107731.32,757921.43,583016.49,291508.24,174904.95
2026-07-13,Monday,3992469.53,1433,1025,29,1072590.07,1517138.42,1038042.08,798493.91,399246.95,239548.17
2026-07-14,Tuesday,3887960.28,1418,1183,27,972029.29,1477424.91,1010869.67,777592.06,388796.03,233277.62
2026-07-15,Wednesday,3978199.31,1365,974,44,997624.49,1511715.74,1034331.82,795639.86,397819.93,238691.96
2026-07-16,Thursday,3872022.16,1216,991,25,995062.73,1471368.42,1006725.76,774404.43,387202.22,232321.33
2026-07-17,Friday,3775717.58,1387,1088,17,941790.43,1434772.68,981686.57,755143.52,377571.76,226543.05
2026-07-18,Saturday,3137140.95,1056,745,36,776957.74,1192113.56,815656.65,627428.19,313714.1,188228.46
2026-07-19,Sunday,2971018.24,951,791,51,759903.8,1128986.93,772464.74,594203.65,297101.82,178261.09
2026-07-20,Monday,3728572.77,1227,906,29,923321.2,1416857.65,969428.92,745714.55,372857.28,223714.37
2026-07-21,Tuesday,3704522.36,1465,1101,48,953909.12,1407718.5,963175.81,740904.47,370452.24,222271.34
2026-07-22,Wednesday,3911042.29,1337,995,49,967268.26,1486196.07,1016871.0,782208.46,391104.23,234662.54
2026-07-23,Thursday,3953801.88,1236,958,19,1035433.93,1502444.71,1027988.49,790760.38,395380.19,237228.11
2026-07-24,Friday,3656184.64,1221,948,62,918563.15,1389350.16,950608.01,731236.93,365618.46,219371.08
2026-07-25,Saturday,2996135.9,1018,773,22,737445.82,1138531.64,778995.33,599227.18,299613.59,179768.15
2026-07-26,Sunday,3194344.82,1132,892,61,843166.96,1213851.03,830529.65,638868.96,319434.48,191660.69
2026-07-27,Monday,3963902.69,1456,1035,18,1080766.08,1506283.02,1030614.7,792780.54,396390.27,237834.16
2026-07-28,Tuesday,4130630.53,1482,1226,35,1075495.92,1569639.6,1073963.94,826126.11,413063.05,247837.83
2026-07-29,Wednesday,4110719.1,1422,1027,61,1100032.86,1562073.26,1068786.97,822143.82,411071.91,246643.15
2026-07-30,Thursday,3979948.47,1331,1032,63,967417.77,1512380.42,1034786.6,795989.69,397994.85,238796.91
2026-07-31,Friday,4062611.8,1309,980,39,1096402.12,1543792.48,1056279.07,812522.36,406261.18,243756.71
2026-08-01,Saturday,3124167.14,1069,778,30,797291.82,1187183.51,812283.46,624833.43,312416.71,187450.03
2026-08-02,Sunday,3025843.24,1174,872,60,839614.2,1149820.43,786719.24,605168.65,302584.32,181550.59
2026-08-03,Monday,3854542.86,1343,1031,61,1046371.32,1464726.29,1002181.14,770908.57,385454.29,231272.57
2026-08-04,Tuesday,3791796.15,1336,1043,59,982841.47,1440882.54,985867.0,758359.23,379179.61,227507.77
2026-08-05,Wednesday,3758030.45,1212,876,62,1001891.63,1428051.57,977087.92,751606.09,375803.05,225481.83
2026-08-06,Thursday,4050622.75,1591,1310,39,1042726.22,1539236.65,1053161.92,810124.55,405062.28,243037.36
2026-08-07,Friday,3857875.05,1447,1047,21,1006496.71,1465992.52,1003047.51,771575.01,385787.51,231472.5
2026-08-08,Saturday,2937788.26,1133,828,16,806772.0,1116359.54,763824.95,587557.65,293778.83,176267.3
2026-08-09,Sunday,3132254.77,1040,816,20,814119.57,1190256.81,814386.24,626450.95,313225.48,187935.29
2026-08-10,Monday,4075475.39,1376,1141,44,1119602.36,1548680.65,1059623.6,815095.08,407547.54,244528.52
2026-08-11,Tuesday,3849844.32,1405,1028,31,977168.49,1462940.84,1000959.52,769968.86,384984.43,230990.66
